User Principal Name,Last Activity Date,Team Chat Message Count
e3-user026@acme.example,2026-04-15,37
e3-user027@acme.example,2026-04-12,50
e3-user028@acme.example,2026-04-14,154
e3-user029@acme.example,2026-04-14,194
e3-user030@acme.example,2026-04-15,45
e3-user031@acme.example,2026-04-09,118
e3-user032@acme.example,2026-04-07,194
e3-user033@acme.example,2026-04-07,114
e3-user034@acme.example,2026-04-07,164
e3-user035@acme.example,2026-04-07,82
e3-user036@acme.example,2026-04-11,38
e3-user037@acme.example,2026-04-09,17
e3-user038@acme.example,2026-04-09,113
e3-user039@acme.example,2026-04-12,70
e3-user040@acme.example,2026-04-07,14
e3-user041@acme.example,2026-04-11,129
e3-user042@acme.example,2026-04-15,79
e3-user043@acme.example,2026-04-09,115
e3-user044@acme.example,2026-04-16,14
e3-user045@acme.example,2026-04-11,73
e3-user046@acme.example,2026-04-15,165
e3-user047@acme.example,2026-04-15,157
e3-user048@acme.example,2026-04-07,129
e3-user049@acme.example,2026-04-10,118
e3-user050@acme.example,2026-04-07,141
e3-user051@acme.example,2026-04-16,115
e3-user052@acme.example,2026-04-07,166
e3-user053@acme.example,2026-04-13,82
e3-user054@acme.example,2026-04-07,121
e3-user055@acme.example,2026-04-08,38
e3-user056@acme.example,2026-04-16,115
e3-user057@acme.example,2026-04-15,87
e3-user058@acme.example,2026-04-15,129
e3-user059@acme.example,2026-04-14,10
e3-user060@acme.example,2026-04-13,181
e3-user061@acme.example,2026-04-09,112
e3-user062@acme.example,2026-04-08,133
e3-user063@acme.example,2026-04-07,40
e3-user064@acme.example,2026-04-11,95
e3-user065@acme.example,2026-04-12,99
e3-user066@acme.example,2026-04-10,198
e3-user067@acme.example,2026-04-11,173
e3-user068@acme.example,2026-04-07,13
e3-user069@acme.example,2026-04-11,16
e3-user070@acme.example,2026-04-11,24
e3-user071@acme.example,2026-04-08,173
e3-user072@acme.example,2026-04-10,72
e3-user073@acme.example,2026-04-12,185
e3-user074@acme.example,2026-04-07,38
e3-user075@acme.example,2026-04-11,20
e3-user076@acme.example,2026-04-07,169
e3-user077@acme.example,2026-04-14,89
e3-user078@acme.example,2026-04-12,167
e3-user079@acme.example,2026-04-10,33
e3-user080@acme.example,2026-04-07,181
e3-user081@acme.example,2026-04-15,79
e3-user082@acme.example,2026-04-08,96
e3-user083@acme.example,2026-04-11,32
e3-user084@acme.example,2026-04-08,23
e3-user085@acme.example,2026-04-10,130
e3-user086@acme.example,2026-04-11,4
e3-user087@acme.example,2026-04-11,79
e3-user088@acme.example,2026-04-14,54
e3-user089@acme.example,2026-04-11,196
e3-user090@acme.example,2026-04-09,49
e3-user091@acme.example,2026-04-13,35
e3-user092@acme.example,2026-04-14,19
e3-user093@acme.example,2026-04-12,25
e3-user094@acme.example,2026-04-08,197
e3-user095@acme.example,2026-04-08,189
e3-user096@acme.example,2026-04-08,9
e3-user097@acme.example,2026-04-11,196
e3-user098@acme.example,2026-04-07,33
e3-user099@acme.example,2026-04-07,96
e3-user100@acme.example,2026-04-14,41
e3-user101@acme.example,2026-04-14,177
e3-user102@acme.example,2026-04-07,42
e3-user103@acme.example,2026-04-09,11
e3-user104@acme.example,2026-04-10,93
e3-user105@acme.example,2026-04-13,113
e3-user106@acme.example,2026-04-07,72
e3-user107@acme.example,2026-04-09,59
e3-user108@acme.example,2026-04-08,61
e3-user109@acme.example,2026-04-12,200
e3-user110@acme.example,2026-04-09,49
e3-user111@acme.example,2026-04-11,173
e3-user112@acme.example,2026-04-07,112
e3-user113@acme.example,2026-04-09,196
e3-user114@acme.example,2026-04-12,199
e3-user115@acme.example,2026-04-10,128
e3-user116@acme.example,2026-04-08,107
e3-user117@acme.example,2026-04-14,51
e3-user118@acme.example,2026-04-07,35
e3-user119@acme.example,2026-04-12,13
e3-user120@acme.example,2026-04-09,95
e3-user121@acme.example,2026-04-08,26
e3-user122@acme.example,2026-04-08,31
e3-user123@acme.example,2026-04-12,21
e3-user124@acme.example,2026-04-14,69
e3-user125@acme.example,2026-04-09,131
e3-user126@acme.example,2026-04-14,111
e3-user127@acme.example,2026-04-15,56
e3-user128@acme.example,2026-04-09,89
e3-user129@acme.example,2026-04-16,106
e3-user130@acme.example,2026-04-16,101
e3-user131@acme.example,2026-04-08,95
e3-user132@acme.example,2026-04-13,98
e3-user133@acme.example,2026-04-15,95
e3-user134@acme.example,2026-04-13,7
e3-user135@acme.example,2026-04-11,25
e3-user136@acme.example,2026-04-11,37
e3-user137@acme.example,2026-04-14,9
e3-user138@acme.example,2026-04-12,120
e3-user139@acme.example,2026-04-14,194
e3-user140@acme.example,2026-04-09,114
e3-user141@acme.example,2026-04-07,1
e3-user142@acme.example,2026-04-15,4
e3-user143@acme.example,2026-04-12,55
e3-user144@acme.example,2026-04-14,140
e3-user145@acme.example,2026-04-07,135
e3-user146@acme.example,2026-04-10,28
e3-user147@acme.example,2026-04-12,60
e3-user148@acme.example,2026-04-12,31
e3-user149@acme.example,2026-04-16,61
e3-user150@acme.example,2026-04-10,163
e3-user151@acme.example,2026-04-07,117
e3-user152@acme.example,2026-04-15,28
e3-user153@acme.example,2026-04-09,152
e3-user154@acme.example,2026-04-08,4
e3-user155@acme.example,2026-04-08,147
e3-user156@acme.example,2026-04-13,183
e3-user157@acme.example,2026-04-14,74
e3-user158@acme.example,2026-04-10,0
e3-user159@acme.example,2026-04-07,90
e3-user160@acme.example,2026-04-13,146
e3-user161@acme.example,2026-04-10,47
e3-user162@acme.example,2026-04-15,134
e3-user163@acme.example,2026-04-11,17
e3-user164@acme.example,2026-04-08,139
e3-user165@acme.example,2026-04-08,129
e3-user166@acme.example,2026-04-08,5
e3-user167@acme.example,2026-04-10,120
e3-user168@acme.example,2026-04-16,162
e3-user169@acme.example,2026-04-10,95
e3-user170@acme.example,2026-04-12,191
e3-user171@acme.example,2026-04-16,91
e3-user172@acme.example,2026-04-15,88
e3-user173@acme.example,2026-04-13,187
e3-user174@acme.example,2026-04-15,197
e3-user175@acme.example,2026-04-07,188
e3-user176@acme.example,2026-04-11,34
e3-user177@acme.example,2026-04-16,90
e3-user178@acme.example,2026-04-08,86
e3-user179@acme.example,2026-04-14,199
e3-user180@acme.example,2026-04-09,178
e3-user181@acme.example,2026-04-09,161
e3-user182@acme.example,2026-04-14,34
e3-user183@acme.example,2026-04-15,183
e3-user184@acme.example,2026-04-09,9
e3-user185@acme.example,2026-04-12,51
e3-user186@acme.example,2026-04-16,51
e3-user187@acme.example,2026-04-16,80
e3-user188@acme.example,2026-04-12,131
e3-user189@acme.example,2026-04-10,139
e3-user190@acme.example,2026-04-09,64
e3-user191@acme.example,2026-04-16,192
e3-user192@acme.example,2026-04-13,73
e3-user193@acme.example,2026-04-11,199
e3-user194@acme.example,2026-04-16,167
e3-user195@acme.example,2026-04-11,69
e3-user196@acme.example,2026-04-15,94
e3-user197@acme.example,2026-04-10,102
e3-user198@acme.example,2026-04-09,98
e3-user199@acme.example,2026-04-11,47
disabled-user000@acme.example,2026-04-09,177
disabled-user001@acme.example,2026-04-09,94
disabled-user002@acme.example,2026-04-08,68
disabled-user003@acme.example,2026-04-15,186
disabled-user004@acme.example,2026-04-10,20
disabled-user005@acme.example,2026-04-10,154
disabled-user006@acme.example,2026-04-14,139
disabled-user007@acme.example,2026-04-12,82
disabled-user008@acme.example,2026-04-15,20
disabled-user009@acme.example,2026-04-11,169
disabled-user010@acme.example,2026-04-12,78
disabled-user011@acme.example,2026-04-09,154
disabled-user012@acme.example,2026-04-10,42
disabled-user013@acme.example,2026-04-09,89
disabled-user014@acme.example,2026-04-09,10
disabled-user015@acme.example,2026-04-11,157
disabled-user016@acme.example,2026-04-10,70
disabled-user017@acme.example,2026-04-16,19
disabled-user018@acme.example,2026-04-10,93
disabled-user019@acme.example,2026-04-08,191
disabled-user020@acme.example,2026-04-14,7
disabled-user021@acme.example,2026-04-14,155
disabled-user022@acme.example,2026-04-09,8
disabled-user023@acme.example,2026-04-14,17
disabled-user024@acme.example,2026-04-13,199
copilot-user000@acme.example,2026-04-11,92
copilot-user001@acme.example,2026-04-10,145
copilot-user002@acme.example,2026-04-16,154
copilot-user003@acme.example,2026-04-14,173
copilot-user004@acme.example,2026-04-09,94
copilot-user005@acme.example,2026-04-11,113
copilot-user006@acme.example,2026-04-15,146
copilot-user007@acme.example,2026-04-14,135
copilot-user008@acme.example,2026-04-11,101
copilot-user009@acme.example,2026-04-11,166
copilot-user010@acme.example,2026-04-12,63
copilot-user011@acme.example,2026-04-15,6
copilot-user012@acme.example,2026-04-14,127
copilot-user013@acme.example,2026-04-08,99
copilot-user014@acme.example,2026-04-08,30
copilot-user015@acme.example,2026-04-12,198
copilot-user016@acme.example,2026-04-12,180
copilot-user017@acme.example,2026-04-09,54
copilot-user018@acme.example,2026-04-07,73
copilot-user019@acme.example,2026-04-09,51
copilot-user020@acme.example,2026-04-15,34
copilot-user021@acme.example,2026-04-15,115
copilot-user022@acme.example,2026-04-14,182
copilot-user023@acme.example,2026-04-09,22
copilot-user024@acme.example,2026-04-11,170
copilot-user025@acme.example,2026-04-11,181
copilot-user026@acme.example,2026-04-15,140
copilot-user027@acme.example,2026-04-08,74
copilot-user028@acme.example,2026-04-12,40
copilot-user029@acme.example,2026-04-14,92
copilot-user030@acme.example,2026-04-08,57
copilot-user031@acme.example,2026-04-15,51
copilot-user032@acme.example,2026-04-14,60
copilot-user033@acme.example,2026-04-09,6
copilot-user034@acme.example,2026-04-11,141
copilot-user035@acme.example,2026-04-07,94
copilot-user036@acme.example,2026-04-09,141
copilot-user037@acme.example,2026-04-14,156
copilot-user038@acme.example,2026-04-15,16
copilot-user039@acme.example,2026-04-12,101
copilot-user040@acme.example,2026-04-09,134
copilot-user041@acme.example,2026-04-10,196
copilot-user042@acme.example,2026-04-10,147
copilot-user043@acme.example,2026-04-15,32
copilot-user044@acme.example,2026-04-11,164
copilot-user045@acme.example,2026-04-15,115
copilot-user046@acme.example,2026-04-09,174
copilot-user047@acme.example,2026-04-08,88
copilot-user048@acme.example,2026-04-14,199
copilot-user049@acme.example,2026-04-08,163
copilot-user050@acme.example,2026-04-07,46
copilot-user051@acme.example,2026-04-14,110
copilot-user052@acme.example,2026-04-08,14
copilot-user053@acme.example,2026-04-15,132
copilot-user054@acme.example,2026-04-14,77
copilot-user055@acme.example,2026-04-14,41
copilot-user056@acme.example,2026-04-11,181
copilot-user057@acme.example,2026-04-13,88
copilot-user058@acme.example,2026-04-08,72
copilot-user059@acme.example,2026-04-15,64
copilot-user060@acme.example,2026-04-13,162
copilot-user061@acme.example,2026-04-08,70
copilot-user062@acme.example,2026-04-14,160
copilot-user063@acme.example,2026-04-12,157
copilot-user064@acme.example,2026-04-08,23
copilot-user065@acme.example,2026-04-08,164
copilot-user066@acme.example,2026-04-14,151
copilot-user067@acme.example,2026-04-07,39
copilot-user068@acme.example,2026-04-14,168
copilot-user069@acme.example,2026-04-07,184
copilot-user070@acme.example,2026-04-07,86
copilot-user071@acme.example,2026-04-07,10
copilot-user072@acme.example,2026-04-16,20
copilot-user073@acme.example,2026-04-16,164
copilot-user074@acme.example,2026-04-07,67
copilot-user075@acme.example,2026-04-13,196
copilot-user076@acme.example,2026-04-07,106
copilot-user077@acme.example,2026-04-07,163
copilot-user078@acme.example,2026-04-16,127
copilot-user079@acme.example,2026-04-08,74
copilot-user080@acme.example,2026-04-12,123
copilot-user081@acme.example,2026-04-13,175
copilot-user082@acme.example,2026-04-10,76
copilot-user083@acme.example,2026-04-09,18
copilot-user084@acme.example,2026-04-16,40
copilot-user085@acme.example,2026-04-09,106
copilot-user086@acme.example,2026-04-09,118
copilot-user087@acme.example,2026-04-13,87
copilot-user088@acme.example,2026-04-07,36
copilot-user089@acme.example,2026-04-11,183
copilot-user090@acme.example,2026-04-11,187
copilot-user091@acme.example,2026-04-11,102
copilot-user092@acme.example,2026-04-14,194
copilot-user093@acme.example,2026-04-11,131
copilot-user094@acme.example,2026-04-08,27
copilot-user095@acme.example,2026-04-11,61
copilot-user096@acme.example,2026-04-09,31
copilot-user097@acme.example,2026-04-12,115
copilot-user098@acme.example,2026-04-13,36
copilot-user099@acme.example,2026-04-15,12
phone-user000@acme.example,2026-04-12,98
phone-user001@acme.example,2026-04-07,107
phone-user002@acme.example,2026-04-13,40
phone-user003@acme.example,2026-04-11,147
phone-user004@acme.example,2026-04-11,48
phone-user005@acme.example,2026-04-14,127
phone-user006@acme.example,2026-04-08,119
phone-user007@acme.example,2026-04-09,78
phone-user008@acme.example,2026-04-09,5
phone-user009@acme.example,2026-04-15,100
phone-user010@acme.example,2026-04-08,117
phone-user011@acme.example,2026-04-13,55
phone-user012@acme.example,2026-04-07,90
phone-user013@acme.example,2026-04-16,12
phone-user014@acme.example,2026-04-12,126
phone-user015@acme.example,2026-04-07,167
phone-user016@acme.example,2026-04-09,73
phone-user017@acme.example,2026-04-08,2
phone-user018@acme.example,2026-04-15,110
phone-user019@acme.example,2026-04-14,67
phone-user020@acme.example,2026-04-11,195
phone-user021@acme.example,2026-04-10,93
phone-user022@acme.example,2026-04-16,102
phone-user023@acme.example,2026-04-16,145
phone-user024@acme.example,2026-04-08,49
phone-user025@acme.example,2026-04-11,141
phone-user026@acme.example,2026-04-12,18
phone-user027@acme.example,2026-04-10,129
phone-user028@acme.example,2026-04-09,195
phone-user029@acme.example,2026-04-08,71
phone-user030@acme.example,2026-04-07,174
phone-user031@acme.example,2026-04-07,30
phone-user032@acme.example,2026-04-14,24
phone-user033@acme.example,2026-04-10,95
phone-user034@acme.example,2026-04-11,142
phone-user035@acme.example,2026-04-11,193
phone-user036@acme.example,2026-04-14,50
phone-user037@acme.example,2026-04-07,130
phone-user038@acme.example,2026-04-10,128
phone-user039@acme.example,2026-04-16,11
phone-user040@acme.example,2026-04-16,35
phone-user041@acme.example,2026-04-11,121
phone-user042@acme.example,2026-04-08,116
phone-user043@acme.example,2026-04-14,155
phone-user044@acme.example,2026-04-08,35
phone-user045@acme.example,2026-04-11,156
phone-user046@acme.example,2026-04-11,41
phone-user047@acme.example,2026-04-10,157
phone-user048@acme.example,2026-04-12,151
phone-user049@acme.example,2026-04-11,129
