User Principal Name,Last Activity Date,Mailbox Storage Used (Byte)
e3-user174@acme.example,2026-04-09,4194304000
e3-user175@acme.example,2026-04-12,4194304000
e3-user176@acme.example,2026-04-16,4194304000
e3-user177@acme.example,2026-04-09,4194304000
e3-user178@acme.example,2026-04-12,4194304000
e3-user179@acme.example,2026-04-08,4194304000
e3-user180@acme.example,2026-04-14,4194304000
e3-user181@acme.example,2026-04-15,4194304000
e3-user182@acme.example,2026-04-09,4194304000
e3-user183@acme.example,2026-04-11,4194304000
e3-user184@acme.example,2026-04-07,4194304000
e3-user185@acme.example,2026-04-12,4194304000
e3-user186@acme.example,2026-04-10,4194304000
e3-user187@acme.example,2026-04-12,4194304000
e3-user188@acme.example,2026-04-09,4194304000
e3-user189@acme.example,2026-04-12,4194304000
e3-user190@acme.example,2026-04-13,4194304000
e3-user191@acme.example,2026-04-10,4194304000
e3-user192@acme.example,2026-04-09,4194304000
e3-user193@acme.example,2026-04-15,4194304000
e3-user194@acme.example,2026-04-13,4194304000
e3-user195@acme.example,2026-04-10,4194304000
e3-user196@acme.example,2026-04-07,4194304000
e3-user197@acme.example,2026-04-11,4194304000
e3-user198@acme.example,2026-04-07,4194304000
e3-user199@acme.example,2026-04-12,4194304000
disabled-user000@acme.example,2025-11-19,4194304000
disabled-user001@acme.example,2026-01-10,4194304000
disabled-user002@acme.example,2026-02-14,4194304000
disabled-user003@acme.example,2025-11-24,4194304000
disabled-user004@acme.example,2025-12-28,4194304000
disabled-user005@acme.example,2026-01-12,4194304000
disabled-user006@acme.example,2026-02-15,4194304000
disabled-user007@acme.example,2025-12-06,4194304000
disabled-user008@acme.example,2025-11-21,4194304000
disabled-user009@acme.example,2026-02-10,4194304000
disabled-user010@acme.example,2025-12-01,4194304000
disabled-user011@acme.example,2025-12-15,4194304000
disabled-user012@acme.example,2026-01-11,4194304000
disabled-user013@acme.example,2026-01-18,4194304000
disabled-user014@acme.example,2025-12-01,4194304000
disabled-user015@acme.example,2026-01-02,4194304000
disabled-user016@acme.example,2026-01-19,4194304000
disabled-user017@acme.example,2025-11-27,4194304000
disabled-user018@acme.example,2026-01-23,4194304000
disabled-user019@acme.example,2025-11-29,4194304000
disabled-user020@acme.example,2026-01-15,4194304000
disabled-user021@acme.example,2025-11-22,4194304000
disabled-user022@acme.example,2025-11-24,4194304000
disabled-user023@acme.example,2025-11-21,4194304000
disabled-user024@acme.example,2026-01-30,4194304000
copilot-user000@acme.example,2026-04-15,4194304000
copilot-user001@acme.example,2026-04-16,4194304000
copilot-user002@acme.example,2026-04-12,4194304000
copilot-user003@acme.example,2026-04-09,4194304000
copilot-user004@acme.example,2026-04-16,4194304000
copilot-user005@acme.example,2026-04-07,4194304000
copilot-user006@acme.example,2026-04-11,4194304000
copilot-user007@acme.example,2026-04-14,4194304000
copilot-user008@acme.example,2026-04-15,4194304000
copilot-user009@acme.example,2026-04-12,4194304000
copilot-user010@acme.example,2026-04-11,4194304000
copilot-user011@acme.example,2026-04-10,4194304000
copilot-user012@acme.example,2026-04-14,4194304000
copilot-user013@acme.example,2026-04-13,4194304000
copilot-user014@acme.example,2026-04-14,4194304000
copilot-user015@acme.example,2026-04-08,4194304000
copilot-user016@acme.example,2026-04-11,4194304000
copilot-user017@acme.example,2026-04-08,4194304000
copilot-user018@acme.example,2026-04-08,4194304000
copilot-user019@acme.example,2026-04-12,4194304000
copilot-user020@acme.example,2026-04-14,4194304000
copilot-user021@acme.example,2026-04-12,4194304000
copilot-user022@acme.example,2026-04-09,4194304000
copilot-user023@acme.example,2026-04-12,4194304000
copilot-user024@acme.example,2026-04-11,4194304000
copilot-user025@acme.example,2026-04-15,4194304000
copilot-user026@acme.example,2026-04-09,4194304000
copilot-user027@acme.example,2026-04-15,4194304000
copilot-user028@acme.example,2026-04-14,4194304000
copilot-user029@acme.example,2026-04-13,4194304000
copilot-user030@acme.example,2026-04-10,4194304000
copilot-user031@acme.example,2026-04-08,4194304000
copilot-user032@acme.example,2026-04-11,4194304000
copilot-user033@acme.example,2026-04-15,4194304000
copilot-user034@acme.example,2026-04-10,4194304000
copilot-user035@acme.example,2026-04-16,4194304000
copilot-user036@acme.example,2026-04-12,4194304000
copilot-user037@acme.example,2026-04-08,4194304000
copilot-user038@acme.example,2026-04-15,4194304000
copilot-user039@acme.example,2026-04-09,4194304000
copilot-user040@acme.example,2026-04-11,4194304000
copilot-user041@acme.example,2026-04-12,4194304000
copilot-user042@acme.example,2026-04-07,4194304000
copilot-user043@acme.example,2026-04-10,4194304000
copilot-user044@acme.example,2026-04-11,4194304000
copilot-user045@acme.example,2026-04-15,4194304000
copilot-user046@acme.example,2026-04-13,4194304000
copilot-user047@acme.example,2026-04-09,4194304000
copilot-user048@acme.example,2026-04-16,4194304000
copilot-user049@acme.example,2026-04-07,4194304000
copilot-user050@acme.example,2026-04-08,4194304000
copilot-user051@acme.example,2026-04-11,4194304000
copilot-user052@acme.example,2026-04-07,4194304000
copilot-user053@acme.example,2026-04-13,4194304000
copilot-user054@acme.example,2026-04-15,4194304000
copilot-user055@acme.example,2026-04-09,4194304000
copilot-user056@acme.example,2026-04-12,4194304000
copilot-user057@acme.example,2026-04-10,4194304000
copilot-user058@acme.example,2026-04-15,4194304000
copilot-user059@acme.example,2026-04-14,4194304000
copilot-user060@acme.example,2026-04-16,4194304000
copilot-user061@acme.example,2026-04-16,4194304000
copilot-user062@acme.example,2026-04-12,4194304000
copilot-user063@acme.example,2026-04-09,4194304000
copilot-user064@acme.example,2026-04-15,4194304000
copilot-user065@acme.example,2026-04-15,4194304000
copilot-user066@acme.example,2026-04-13,4194304000
copilot-user067@acme.example,2026-04-08,4194304000
copilot-user068@acme.example,2026-04-14,4194304000
copilot-user069@acme.example,2026-04-10,4194304000
copilot-user070@acme.example,2026-04-09,4194304000
copilot-user071@acme.example,2026-04-11,4194304000
copilot-user072@acme.example,2026-04-08,4194304000
copilot-user073@acme.example,2026-04-10,4194304000
copilot-user074@acme.example,2026-04-07,4194304000
copilot-user075@acme.example,2026-04-14,4194304000
copilot-user076@acme.example,2026-04-10,4194304000
copilot-user077@acme.example,2026-04-15,4194304000
copilot-user078@acme.example,2026-04-09,4194304000
copilot-user079@acme.example,2026-04-07,4194304000
copilot-user080@acme.example,2026-04-10,4194304000
copilot-user081@acme.example,2026-04-12,4194304000
copilot-user082@acme.example,2026-04-16,4194304000
copilot-user083@acme.example,2026-04-11,4194304000
copilot-user084@acme.example,2026-04-13,4194304000
copilot-user085@acme.example,2026-04-09,4194304000
copilot-user086@acme.example,2026-04-09,4194304000
copilot-user087@acme.example,2026-04-13,4194304000
copilot-user088@acme.example,2026-04-11,4194304000
copilot-user089@acme.example,2026-04-15,4194304000
copilot-user090@acme.example,2026-04-11,4194304000
copilot-user091@acme.example,2026-04-08,4194304000
copilot-user092@acme.example,2026-04-11,4194304000
copilot-user093@acme.example,2026-04-16,4194304000
copilot-user094@acme.example,2026-04-10,4194304000
copilot-user095@acme.example,2026-04-12,4194304000
copilot-user096@acme.example,2026-04-13,4194304000
copilot-user097@acme.example,2026-04-15,4194304000
copilot-user098@acme.example,2026-04-09,4194304000
copilot-user099@acme.example,2026-04-15,4194304000
phone-user000@acme.example,2026-04-13,4194304000
phone-user001@acme.example,2026-04-07,4194304000
phone-user002@acme.example,2026-04-16,4194304000
phone-user003@acme.example,2026-04-16,4194304000
phone-user004@acme.example,2026-04-11,4194304000
phone-user005@acme.example,2026-04-13,4194304000
phone-user006@acme.example,2026-04-14,4194304000
phone-user007@acme.example,2026-04-07,4194304000
phone-user008@acme.example,2026-04-13,4194304000
phone-user009@acme.example,2026-04-15,4194304000
phone-user010@acme.example,2026-04-08,4194304000
phone-user011@acme.example,2026-04-13,4194304000
phone-user012@acme.example,2026-04-07,4194304000
phone-user013@acme.example,2026-04-13,4194304000
phone-user014@acme.example,2026-04-13,4194304000
phone-user015@acme.example,2026-04-11,4194304000
phone-user016@acme.example,2026-04-14,4194304000
phone-user017@acme.example,2026-04-07,4194304000
phone-user018@acme.example,2026-04-16,4194304000
phone-user019@acme.example,2026-04-12,4194304000
phone-user020@acme.example,2026-04-14,4194304000
phone-user021@acme.example,2026-04-14,4194304000
phone-user022@acme.example,2026-04-08,4194304000
phone-user023@acme.example,2026-04-12,4194304000
phone-user024@acme.example,2026-04-14,4194304000
phone-user025@acme.example,2026-04-15,4194304000
phone-user026@acme.example,2026-04-16,4194304000
phone-user027@acme.example,2026-04-14,4194304000
phone-user028@acme.example,2026-04-16,4194304000
phone-user029@acme.example,2026-04-11,4194304000
phone-user030@acme.example,2026-04-13,4194304000
phone-user031@acme.example,2026-04-07,4194304000
phone-user032@acme.example,2026-04-11,4194304000
phone-user033@acme.example,2026-04-16,4194304000
phone-user034@acme.example,2026-04-14,4194304000
phone-user035@acme.example,2026-04-12,4194304000
phone-user036@acme.example,2026-04-16,4194304000
phone-user037@acme.example,2026-04-14,4194304000
phone-user038@acme.example,2026-04-10,4194304000
phone-user039@acme.example,2026-04-08,4194304000
phone-user040@acme.example,2026-04-15,4194304000
phone-user041@acme.example,2026-04-15,4194304000
phone-user042@acme.example,2026-04-09,4194304000
phone-user043@acme.example,2026-04-09,4194304000
phone-user044@acme.example,2026-04-11,4194304000
phone-user045@acme.example,2026-04-08,4194304000
phone-user046@acme.example,2026-04-07,4194304000
phone-user047@acme.example,2026-04-15,4194304000
phone-user048@acme.example,2026-04-09,4194304000
phone-user049@acme.example,2026-04-08,4194304000
