User Principal Name,Activated On Any Device,Activation Count,Last Activation Date
e3-user028@acme.example,No,0,
e3-user029@acme.example,No,0,
e3-user030@acme.example,No,0,
e3-user031@acme.example,No,0,
e3-user032@acme.example,No,0,
e3-user033@acme.example,No,0,
e3-user034@acme.example,No,0,
e3-user035@acme.example,No,0,
e3-user036@acme.example,No,0,
e3-user037@acme.example,No,0,
e3-user038@acme.example,No,0,
e3-user039@acme.example,No,0,
e3-user040@acme.example,No,0,
e3-user041@acme.example,No,0,
e3-user042@acme.example,No,0,
e3-user043@acme.example,No,0,
e3-user044@acme.example,No,0,
e3-user045@acme.example,No,0,
e3-user046@acme.example,No,0,
e3-user047@acme.example,No,0,
e3-user048@acme.example,No,0,
e3-user049@acme.example,No,0,
e3-user050@acme.example,No,0,
e3-user051@acme.example,No,0,
e3-user052@acme.example,No,0,
e3-user053@acme.example,No,0,
e3-user054@acme.example,No,0,
e3-user055@acme.example,No,0,
e3-user056@acme.example,No,0,
e3-user057@acme.example,No,0,
e3-user058@acme.example,No,0,
e3-user059@acme.example,No,0,
e3-user060@acme.example,No,0,
e3-user061@acme.example,No,0,
e3-user062@acme.example,No,0,
e3-user063@acme.example,No,0,
e3-user064@acme.example,No,0,
e3-user065@acme.example,No,0,
e3-user066@acme.example,No,0,
e3-user067@acme.example,No,0,
e3-user068@acme.example,No,0,
e3-user069@acme.example,No,0,
e3-user070@acme.example,No,0,
e3-user071@acme.example,No,0,
e3-user072@acme.example,No,0,
e3-user073@acme.example,No,0,
e3-user074@acme.example,No,0,
e3-user075@acme.example,No,0,
e3-user076@acme.example,No,0,
e3-user077@acme.example,No,0,
e3-user078@acme.example,No,0,
e3-user079@acme.example,No,0,
e3-user080@acme.example,Yes,1,2026-04-06
e3-user081@acme.example,Yes,2,2026-04-15
e3-user082@acme.example,Yes,3,2026-04-09
e3-user083@acme.example,Yes,3,2026-03-27
e3-user084@acme.example,Yes,2,2026-04-04
e3-user085@acme.example,Yes,1,2026-04-14
e3-user086@acme.example,Yes,2,2026-04-02
e3-user087@acme.example,Yes,3,2026-04-02
e3-user088@acme.example,Yes,1,2026-03-20
e3-user089@acme.example,Yes,2,2026-04-02
e3-user090@acme.example,Yes,2,2026-04-13
e3-user091@acme.example,Yes,2,2026-03-24
e3-user092@acme.example,Yes,3,2026-04-16
e3-user093@acme.example,Yes,1,2026-04-04
e3-user094@acme.example,Yes,2,2026-04-15
e3-user095@acme.example,Yes,3,2026-03-30
e3-user096@acme.example,Yes,1,2026-03-21
e3-user097@acme.example,Yes,1,2026-03-22
e3-user098@acme.example,Yes,3,2026-03-28
e3-user099@acme.example,Yes,3,2026-04-07
e3-user100@acme.example,Yes,3,2026-03-30
e3-user101@acme.example,Yes,1,2026-03-27
e3-user102@acme.example,Yes,3,2026-04-02
e3-user103@acme.example,Yes,2,2026-04-05
e3-user104@acme.example,Yes,1,2026-03-21
e3-user105@acme.example,Yes,1,2026-03-20
e3-user106@acme.example,Yes,2,2026-04-06
e3-user107@acme.example,Yes,3,2026-03-23
e3-user108@acme.example,Yes,3,2026-03-28
e3-user109@acme.example,Yes,2,2026-03-25
e3-user110@acme.example,Yes,3,2026-04-05
e3-user111@acme.example,Yes,3,2026-04-02
e3-user112@acme.example,Yes,1,2026-04-13
e3-user113@acme.example,Yes,3,2026-04-09
e3-user114@acme.example,Yes,1,2026-04-06
e3-user115@acme.example,Yes,2,2026-03-21
e3-user116@acme.example,Yes,3,2026-03-22
e3-user117@acme.example,Yes,2,2026-03-30
e3-user118@acme.example,Yes,3,2026-04-05
e3-user119@acme.example,Yes,3,2026-04-13
e3-user120@acme.example,Yes,1,2026-03-19
e3-user121@acme.example,Yes,1,2026-04-01
e3-user122@acme.example,Yes,1,2026-03-21
e3-user123@acme.example,Yes,3,2026-03-24
e3-user124@acme.example,Yes,3,2026-04-03
e3-user125@acme.example,Yes,1,2026-04-08
e3-user126@acme.example,Yes,3,2026-04-10
e3-user127@acme.example,Yes,1,2026-04-13
e3-user128@acme.example,Yes,2,2026-04-10
e3-user129@acme.example,Yes,2,2026-03-21
e3-user130@acme.example,Yes,1,2026-03-25
e3-user131@acme.example,Yes,2,2026-04-13
e3-user132@acme.example,Yes,2,2026-04-15
e3-user133@acme.example,Yes,3,2026-03-21
e3-user134@acme.example,Yes,3,2026-03-29
e3-user135@acme.example,Yes,1,2026-03-23
e3-user136@acme.example,Yes,2,2026-04-02
e3-user137@acme.example,Yes,3,2026-03-29
e3-user138@acme.example,Yes,3,2026-04-12
e3-user139@acme.example,Yes,2,2026-04-16
e3-user140@acme.example,Yes,3,2026-03-24
e3-user141@acme.example,Yes,1,2026-03-30
e3-user142@acme.example,Yes,2,2026-03-21
e3-user143@acme.example,Yes,3,2026-04-01
e3-user144@acme.example,Yes,3,2026-03-23
e3-user145@acme.example,Yes,1,2026-03-25
e3-user146@acme.example,Yes,3,2026-04-11
e3-user147@acme.example,Yes,3,2026-03-21
e3-user148@acme.example,Yes,1,2026-04-13
e3-user149@acme.example,Yes,2,2026-03-26
e3-user150@acme.example,Yes,3,2026-03-28
e3-user151@acme.example,Yes,2,2026-03-31
e3-user152@acme.example,Yes,2,2026-04-03
e3-user153@acme.example,Yes,3,2026-03-18
e3-user154@acme.example,Yes,3,2026-03-23
e3-user155@acme.example,Yes,1,2026-04-08
e3-user156@acme.example,Yes,2,2026-04-06
e3-user157@acme.example,Yes,2,2026-04-02
e3-user158@acme.example,Yes,1,2026-04-12
e3-user159@acme.example,Yes,2,2026-03-28
e3-user160@acme.example,Yes,3,2026-03-19
e3-user161@acme.example,Yes,3,2026-03-31
e3-user162@acme.example,Yes,2,2026-03-21
e3-user163@acme.example,Yes,3,2026-03-30
e3-user164@acme.example,Yes,2,2026-03-25
e3-user165@acme.example,Yes,3,2026-03-18
e3-user166@acme.example,Yes,3,2026-03-27
e3-user167@acme.example,Yes,1,2026-04-10
e3-user168@acme.example,Yes,1,2026-03-28
e3-user169@acme.example,Yes,3,2026-04-07
e3-user170@acme.example,Yes,3,2026-04-05
e3-user171@acme.example,Yes,3,2026-04-12
e3-user172@acme.example,Yes,3,2026-03-27
e3-user173@acme.example,Yes,1,2026-03-31
e3-user174@acme.example,Yes,3,2026-03-25
e3-user175@acme.example,Yes,3,2026-04-06
e3-user176@acme.example,Yes,3,2026-04-13
e3-user177@acme.example,Yes,2,2026-03-30
e3-user178@acme.example,Yes,2,2026-03-29
e3-user179@acme.example,Yes,3,2026-03-26
e3-user180@acme.example,Yes,3,2026-04-03
e3-user181@acme.example,Yes,3,2026-03-24
e3-user182@acme.example,Yes,3,2026-04-07
e3-user183@acme.example,Yes,2,2026-03-22
e3-user184@acme.example,Yes,1,2026-03-31
e3-user185@acme.example,Yes,1,2026-04-16
e3-user186@acme.example,Yes,2,2026-04-12
e3-user187@acme.example,Yes,1,2026-03-26
e3-user188@acme.example,Yes,1,2026-04-10
e3-user189@acme.example,Yes,2,2026-03-23
e3-user190@acme.example,Yes,1,2026-04-07
e3-user191@acme.example,Yes,3,2026-04-08
e3-user192@acme.example,Yes,1,2026-03-21
e3-user193@acme.example,Yes,1,2026-03-25
e3-user194@acme.example,Yes,2,2026-04-10
e3-user195@acme.example,Yes,3,2026-04-15
e3-user196@acme.example,Yes,2,2026-03-21
e3-user197@acme.example,Yes,2,2026-04-13
e3-user198@acme.example,Yes,3,2026-03-20
e3-user199@acme.example,Yes,3,2026-03-24
disabled-user000@acme.example,Yes,3,2026-03-20
disabled-user001@acme.example,Yes,1,2026-03-24
disabled-user002@acme.example,Yes,3,2026-03-30
disabled-user003@acme.example,Yes,2,2026-04-09
disabled-user004@acme.example,Yes,3,2026-03-22
disabled-user005@acme.example,Yes,3,2026-04-07
disabled-user006@acme.example,Yes,3,2026-03-26
disabled-user007@acme.example,Yes,1,2026-03-18
disabled-user008@acme.example,Yes,2,2026-04-04
disabled-user009@acme.example,Yes,2,2026-03-22
disabled-user010@acme.example,Yes,3,2026-04-06
disabled-user011@acme.example,Yes,3,2026-04-15
disabled-user012@acme.example,Yes,1,2026-03-24
disabled-user013@acme.example,Yes,2,2026-04-10
disabled-user014@acme.example,Yes,3,2026-03-20
disabled-user015@acme.example,Yes,2,2026-03-21
disabled-user016@acme.example,Yes,1,2026-03-18
disabled-user017@acme.example,Yes,3,2026-03-25
disabled-user018@acme.example,Yes,3,2026-03-27
disabled-user019@acme.example,Yes,2,2026-03-23
disabled-user020@acme.example,Yes,3,2026-03-30
disabled-user021@acme.example,Yes,3,2026-03-28
disabled-user022@acme.example,Yes,1,2026-03-23
disabled-user023@acme.example,Yes,3,2026-04-10
disabled-user024@acme.example,Yes,2,2026-04-02
copilot-user000@acme.example,Yes,1,2026-03-26
copilot-user001@acme.example,Yes,1,2026-04-11
copilot-user002@acme.example,Yes,1,2026-03-24
copilot-user003@acme.example,Yes,3,2026-04-13
copilot-user004@acme.example,Yes,2,2026-04-15
copilot-user005@acme.example,Yes,2,2026-04-08
copilot-user006@acme.example,Yes,3,2026-04-08
copilot-user007@acme.example,Yes,1,2026-04-11
copilot-user008@acme.example,Yes,3,2026-03-20
copilot-user009@acme.example,Yes,2,2026-04-16
copilot-user010@acme.example,Yes,2,2026-04-02
copilot-user011@acme.example,Yes,3,2026-03-18
copilot-user012@acme.example,Yes,1,2026-04-15
copilot-user013@acme.example,Yes,1,2026-03-18
copilot-user014@acme.example,Yes,2,2026-03-28
copilot-user015@acme.example,Yes,1,2026-03-23
copilot-user016@acme.example,Yes,3,2026-03-28
copilot-user017@acme.example,Yes,3,2026-04-07
copilot-user018@acme.example,Yes,2,2026-03-22
copilot-user019@acme.example,Yes,3,2026-03-30
copilot-user020@acme.example,Yes,2,2026-04-14
copilot-user021@acme.example,Yes,3,2026-04-06
copilot-user022@acme.example,Yes,3,2026-04-09
copilot-user023@acme.example,Yes,1,2026-03-31
copilot-user024@acme.example,Yes,1,2026-03-22
copilot-user025@acme.example,Yes,3,2026-04-11
copilot-user026@acme.example,Yes,2,2026-03-30
copilot-user027@acme.example,Yes,3,2026-04-04
copilot-user028@acme.example,Yes,1,2026-04-05
copilot-user029@acme.example,Yes,1,2026-03-19
copilot-user030@acme.example,Yes,1,2026-03-26
copilot-user031@acme.example,Yes,2,2026-04-06
copilot-user032@acme.example,Yes,2,2026-04-07
copilot-user033@acme.example,Yes,1,2026-03-23
copilot-user034@acme.example,Yes,3,2026-03-31
copilot-user035@acme.example,Yes,2,2026-03-30
copilot-user036@acme.example,Yes,3,2026-04-16
copilot-user037@acme.example,Yes,1,2026-03-26
copilot-user038@acme.example,Yes,2,2026-04-02
copilot-user039@acme.example,Yes,1,2026-03-19
copilot-user040@acme.example,Yes,3,2026-03-28
copilot-user041@acme.example,Yes,3,2026-04-09
copilot-user042@acme.example,Yes,1,2026-03-26
copilot-user043@acme.example,Yes,2,2026-04-04
copilot-user044@acme.example,Yes,1,2026-04-04
copilot-user045@acme.example,Yes,2,2026-03-30
copilot-user046@acme.example,Yes,3,2026-04-07
copilot-user047@acme.example,Yes,1,2026-03-18
copilot-user048@acme.example,Yes,3,2026-03-21
copilot-user049@acme.example,Yes,2,2026-03-31
copilot-user050@acme.example,Yes,3,2026-04-02
copilot-user051@acme.example,Yes,2,2026-04-15
copilot-user052@acme.example,Yes,2,2026-03-19
copilot-user053@acme.example,Yes,3,2026-04-10
copilot-user054@acme.example,Yes,2,2026-03-31
copilot-user055@acme.example,Yes,1,2026-04-13
copilot-user056@acme.example,Yes,1,2026-03-23
copilot-user057@acme.example,Yes,3,2026-03-30
copilot-user058@acme.example,Yes,1,2026-03-27
copilot-user059@acme.example,Yes,1,2026-04-10
copilot-user060@acme.example,Yes,3,2026-03-27
copilot-user061@acme.example,Yes,1,2026-03-20
copilot-user062@acme.example,Yes,3,2026-04-03
copilot-user063@acme.example,Yes,1,2026-04-10
copilot-user064@acme.example,Yes,3,2026-03-21
copilot-user065@acme.example,Yes,3,2026-03-19
copilot-user066@acme.example,Yes,3,2026-03-23
copilot-user067@acme.example,Yes,2,2026-03-27
copilot-user068@acme.example,Yes,1,2026-03-24
copilot-user069@acme.example,Yes,3,2026-04-12
copilot-user070@acme.example,Yes,1,2026-04-02
copilot-user071@acme.example,Yes,3,2026-04-06
copilot-user072@acme.example,Yes,1,2026-04-14
copilot-user073@acme.example,Yes,1,2026-04-15
copilot-user074@acme.example,Yes,1,2026-03-22
copilot-user075@acme.example,Yes,2,2026-03-30
copilot-user076@acme.example,Yes,1,2026-03-29
copilot-user077@acme.example,Yes,1,2026-03-18
copilot-user078@acme.example,Yes,2,2026-04-03
copilot-user079@acme.example,Yes,2,2026-04-02
copilot-user080@acme.example,Yes,3,2026-04-04
copilot-user081@acme.example,Yes,2,2026-04-06
copilot-user082@acme.example,Yes,1,2026-04-04
copilot-user083@acme.example,Yes,3,2026-04-13
copilot-user084@acme.example,Yes,3,2026-04-16
copilot-user085@acme.example,Yes,3,2026-03-24
copilot-user086@acme.example,Yes,3,2026-04-14
copilot-user087@acme.example,Yes,3,2026-03-29
copilot-user088@acme.example,Yes,1,2026-03-25
copilot-user089@acme.example,Yes,1,2026-04-05
copilot-user090@acme.example,Yes,3,2026-04-13
copilot-user091@acme.example,Yes,2,2026-03-22
copilot-user092@acme.example,Yes,3,2026-04-07
copilot-user093@acme.example,Yes,3,2026-04-14
copilot-user094@acme.example,Yes,2,2026-03-23
copilot-user095@acme.example,Yes,2,2026-04-04
copilot-user096@acme.example,Yes,2,2026-03-21
copilot-user097@acme.example,Yes,3,2026-04-16
copilot-user098@acme.example,Yes,2,2026-04-11
copilot-user099@acme.example,Yes,3,2026-04-09
phone-user000@acme.example,Yes,1,2026-03-24
phone-user001@acme.example,Yes,2,2026-03-22
phone-user002@acme.example,Yes,3,2026-04-07
phone-user003@acme.example,Yes,3,2026-04-12
phone-user004@acme.example,Yes,2,2026-03-26
phone-user005@acme.example,Yes,3,2026-03-27
phone-user006@acme.example,Yes,2,2026-04-16
phone-user007@acme.example,Yes,3,2026-03-20
phone-user008@acme.example,Yes,3,2026-04-12
phone-user009@acme.example,Yes,1,2026-04-15
phone-user010@acme.example,Yes,1,2026-03-29
phone-user011@acme.example,Yes,3,2026-04-04
phone-user012@acme.example,Yes,3,2026-03-30
phone-user013@acme.example,Yes,1,2026-04-07
phone-user014@acme.example,Yes,1,2026-03-24
phone-user015@acme.example,Yes,3,2026-03-19
phone-user016@acme.example,Yes,3,2026-04-05
phone-user017@acme.example,Yes,1,2026-04-03
phone-user018@acme.example,Yes,3,2026-03-20
phone-user019@acme.example,Yes,3,2026-04-12
phone-user020@acme.example,Yes,1,2026-04-11
phone-user021@acme.example,Yes,1,2026-03-28
phone-user022@acme.example,Yes,2,2026-04-10
phone-user023@acme.example,Yes,1,2026-04-11
phone-user024@acme.example,Yes,3,2026-03-22
phone-user025@acme.example,Yes,3,2026-03-20
phone-user026@acme.example,Yes,1,2026-03-20
phone-user027@acme.example,Yes,3,2026-04-02
phone-user028@acme.example,Yes,3,2026-03-30
phone-user029@acme.example,Yes,1,2026-04-07
phone-user030@acme.example,Yes,3,2026-04-14
phone-user031@acme.example,Yes,2,2026-04-13
phone-user032@acme.example,Yes,1,2026-03-24
phone-user033@acme.example,Yes,3,2026-04-01
phone-user034@acme.example,Yes,2,2026-04-05
phone-user035@acme.example,Yes,1,2026-03-26
phone-user036@acme.example,Yes,3,2026-04-09
phone-user037@acme.example,Yes,1,2026-04-07
phone-user038@acme.example,Yes,3,2026-04-14
phone-user039@acme.example,Yes,1,2026-04-06
phone-user040@acme.example,Yes,2,2026-04-02
phone-user041@acme.example,Yes,2,2026-03-28
phone-user042@acme.example,Yes,3,2026-04-07
phone-user043@acme.example,Yes,3,2026-03-29
phone-user044@acme.example,Yes,1,2026-03-29
phone-user045@acme.example,Yes,3,2026-04-05
phone-user046@acme.example,Yes,2,2026-04-03
phone-user047@acme.example,Yes,1,2026-04-16
phone-user048@acme.example,Yes,2,2026-04-09
phone-user049@acme.example,Yes,1,2026-03-25
