User Principal Name,Last Activity Date,Viewed or Edited Report Count
e3-user056@acme.example,,0
e3-user057@acme.example,,0
e3-user058@acme.example,,0
e3-user059@acme.example,,0
e3-user060@acme.example,,0
e3-user061@acme.example,,0
e3-user062@acme.example,,0
e3-user063@acme.example,,0
e3-user064@acme.example,,0
e3-user065@acme.example,,0
e3-user066@acme.example,,0
e3-user067@acme.example,,0
e3-user068@acme.example,,0
e3-user069@acme.example,,0
e3-user070@acme.example,,0
e3-user071@acme.example,,0
e3-user072@acme.example,,0
e3-user073@acme.example,,0
e3-user074@acme.example,,0
e3-user075@acme.example,,0
e3-user076@acme.example,,0
e3-user077@acme.example,,0
e3-user078@acme.example,,0
e3-user079@acme.example,,0
e3-user080@acme.example,,0
e3-user081@acme.example,,0
e3-user082@acme.example,,0
e3-user083@acme.example,,0
e3-user084@acme.example,,0
e3-user085@acme.example,,0
e3-user086@acme.example,,0
e3-user087@acme.example,,0
e3-user088@acme.example,,0
e3-user089@acme.example,,0
e3-user090@acme.example,,0
e3-user091@acme.example,,0
e3-user092@acme.example,,0
e3-user093@acme.example,,0
e3-user094@acme.example,,0
e3-user095@acme.example,,0
e3-user096@acme.example,,0
e3-user097@acme.example,,0
e3-user098@acme.example,,0
e3-user099@acme.example,,0
e3-user100@acme.example,,0
e3-user101@acme.example,,0
e3-user102@acme.example,,0
e3-user103@acme.example,,0
e3-user104@acme.example,,0
e3-user105@acme.example,,0
e3-user106@acme.example,,0
e3-user107@acme.example,,0
e3-user108@acme.example,,0
e3-user109@acme.example,,0
e3-user110@acme.example,,0
e3-user111@acme.example,,0
e3-user112@acme.example,,0
e3-user113@acme.example,,0
e3-user114@acme.example,,0
e3-user115@acme.example,,0
e3-user116@acme.example,,0
e3-user117@acme.example,,0
e3-user118@acme.example,,0
e3-user119@acme.example,,0
e3-user120@acme.example,,0
e3-user121@acme.example,,0
e3-user122@acme.example,,0
e3-user123@acme.example,,0
e3-user124@acme.example,,0
e3-user125@acme.example,,0
e3-user126@acme.example,,0
e3-user127@acme.example,,0
e3-user128@acme.example,,0
e3-user129@acme.example,,0
e3-user130@acme.example,,0
e3-user131@acme.example,,0
e3-user132@acme.example,,0
e3-user133@acme.example,,0
e3-user134@acme.example,,0
e3-user135@acme.example,,0
e3-user136@acme.example,,0
e3-user137@acme.example,,0
e3-user138@acme.example,,0
e3-user139@acme.example,,0
e3-user140@acme.example,,0
e3-user141@acme.example,,0
e3-user142@acme.example,,0
e3-user143@acme.example,,0
e3-user144@acme.example,,0
e3-user145@acme.example,,0
e3-user146@acme.example,,0
e3-user147@acme.example,,0
e3-user148@acme.example,,0
e3-user149@acme.example,,0
e3-user150@acme.example,,0
e3-user151@acme.example,,0
e3-user152@acme.example,,0
e3-user153@acme.example,,0
e3-user154@acme.example,,0
e3-user155@acme.example,,0
e3-user156@acme.example,,0
e3-user157@acme.example,,0
e3-user158@acme.example,,0
e3-user159@acme.example,,0
e3-user160@acme.example,,0
e3-user161@acme.example,,0
e3-user162@acme.example,,0
e3-user163@acme.example,,0
e3-user164@acme.example,,0
e3-user165@acme.example,,0
e3-user166@acme.example,,0
e3-user167@acme.example,,0
e3-user168@acme.example,,0
e3-user169@acme.example,,0
e3-user170@acme.example,,0
e3-user171@acme.example,,0
e3-user172@acme.example,,0
e3-user173@acme.example,,0
e3-user174@acme.example,,0
e3-user175@acme.example,,0
e3-user176@acme.example,,0
e3-user177@acme.example,,0
e3-user178@acme.example,,0
e3-user179@acme.example,,0
e3-user180@acme.example,,0
e3-user181@acme.example,,0
e3-user182@acme.example,,0
e3-user183@acme.example,,0
e3-user184@acme.example,,0
e3-user185@acme.example,,0
e3-user186@acme.example,,0
e3-user187@acme.example,,0
e3-user188@acme.example,,0
e3-user189@acme.example,,0
e3-user190@acme.example,,0
e3-user191@acme.example,,0
e3-user192@acme.example,,0
e3-user193@acme.example,,0
e3-user194@acme.example,,0
e3-user195@acme.example,,0
e3-user196@acme.example,,0
e3-user197@acme.example,,0
e3-user198@acme.example,,0
e3-user199@acme.example,,0
disabled-user000@acme.example,,0
disabled-user001@acme.example,,0
disabled-user002@acme.example,,0
disabled-user003@acme.example,,0
disabled-user004@acme.example,,0
disabled-user005@acme.example,,0
disabled-user006@acme.example,,0
disabled-user007@acme.example,,0
disabled-user008@acme.example,,0
disabled-user009@acme.example,,0
disabled-user010@acme.example,,0
disabled-user011@acme.example,,0
disabled-user012@acme.example,,0
disabled-user013@acme.example,,0
disabled-user014@acme.example,,0
disabled-user015@acme.example,,0
disabled-user016@acme.example,,0
disabled-user017@acme.example,,0
disabled-user018@acme.example,,0
disabled-user019@acme.example,,0
disabled-user020@acme.example,,0
disabled-user021@acme.example,,0
disabled-user022@acme.example,,0
disabled-user023@acme.example,,0
disabled-user024@acme.example,,0
copilot-user000@acme.example,,0
copilot-user001@acme.example,,0
copilot-user002@acme.example,,0
copilot-user003@acme.example,,0
copilot-user004@acme.example,,0
copilot-user005@acme.example,,0
copilot-user006@acme.example,,0
copilot-user007@acme.example,,0
copilot-user008@acme.example,,0
copilot-user009@acme.example,,0
copilot-user010@acme.example,,0
copilot-user011@acme.example,,0
copilot-user012@acme.example,,0
copilot-user013@acme.example,,0
copilot-user014@acme.example,,0
copilot-user015@acme.example,,0
copilot-user016@acme.example,,0
copilot-user017@acme.example,,0
copilot-user018@acme.example,,0
copilot-user019@acme.example,,0
copilot-user020@acme.example,,0
copilot-user021@acme.example,,0
copilot-user022@acme.example,,0
copilot-user023@acme.example,,0
copilot-user024@acme.example,,0
copilot-user025@acme.example,,0
copilot-user026@acme.example,,0
copilot-user027@acme.example,,0
copilot-user028@acme.example,,0
copilot-user029@acme.example,,0
copilot-user030@acme.example,,0
copilot-user031@acme.example,,0
copilot-user032@acme.example,,0
copilot-user033@acme.example,,0
copilot-user034@acme.example,,0
copilot-user035@acme.example,,0
copilot-user036@acme.example,,0
copilot-user037@acme.example,,0
copilot-user038@acme.example,,0
copilot-user039@acme.example,,0
copilot-user040@acme.example,,0
copilot-user041@acme.example,,0
copilot-user042@acme.example,,0
copilot-user043@acme.example,,0
copilot-user044@acme.example,,0
copilot-user045@acme.example,,0
copilot-user046@acme.example,,0
copilot-user047@acme.example,,0
copilot-user048@acme.example,,0
copilot-user049@acme.example,,0
copilot-user050@acme.example,,0
copilot-user051@acme.example,,0
copilot-user052@acme.example,,0
copilot-user053@acme.example,,0
copilot-user054@acme.example,,0
copilot-user055@acme.example,,0
copilot-user056@acme.example,,0
copilot-user057@acme.example,,0
copilot-user058@acme.example,,0
copilot-user059@acme.example,,0
copilot-user060@acme.example,,0
copilot-user061@acme.example,,0
copilot-user062@acme.example,,0
copilot-user063@acme.example,,0
copilot-user064@acme.example,,0
copilot-user065@acme.example,,0
copilot-user066@acme.example,,0
copilot-user067@acme.example,,0
copilot-user068@acme.example,,0
copilot-user069@acme.example,,0
copilot-user070@acme.example,,0
copilot-user071@acme.example,,0
copilot-user072@acme.example,,0
copilot-user073@acme.example,,0
copilot-user074@acme.example,,0
copilot-user075@acme.example,,0
copilot-user076@acme.example,,0
copilot-user077@acme.example,,0
copilot-user078@acme.example,,0
copilot-user079@acme.example,,0
copilot-user080@acme.example,,0
copilot-user081@acme.example,,0
copilot-user082@acme.example,,0
copilot-user083@acme.example,,0
copilot-user084@acme.example,,0
copilot-user085@acme.example,,0
copilot-user086@acme.example,,0
copilot-user087@acme.example,,0
copilot-user088@acme.example,,0
copilot-user089@acme.example,,0
copilot-user090@acme.example,,0
copilot-user091@acme.example,,0
copilot-user092@acme.example,,0
copilot-user093@acme.example,,0
copilot-user094@acme.example,,0
copilot-user095@acme.example,,0
copilot-user096@acme.example,,0
copilot-user097@acme.example,,0
copilot-user098@acme.example,,0
copilot-user099@acme.example,,0
phone-user000@acme.example,,0
phone-user001@acme.example,,0
phone-user002@acme.example,,0
phone-user003@acme.example,,0
phone-user004@acme.example,,0
phone-user005@acme.example,,0
phone-user006@acme.example,,0
phone-user007@acme.example,,0
phone-user008@acme.example,,0
phone-user009@acme.example,,0
phone-user010@acme.example,,0
phone-user011@acme.example,,0
phone-user012@acme.example,,0
phone-user013@acme.example,,0
phone-user014@acme.example,,0
phone-user015@acme.example,,0
phone-user016@acme.example,,0
phone-user017@acme.example,,0
phone-user018@acme.example,,0
phone-user019@acme.example,,0
phone-user020@acme.example,,0
phone-user021@acme.example,,0
phone-user022@acme.example,,0
phone-user023@acme.example,,0
phone-user024@acme.example,,0
phone-user025@acme.example,,0
phone-user026@acme.example,,0
phone-user027@acme.example,,0
phone-user028@acme.example,,0
phone-user029@acme.example,,0
phone-user030@acme.example,,0
phone-user031@acme.example,,0
phone-user032@acme.example,,0
phone-user033@acme.example,,0
phone-user034@acme.example,,0
phone-user035@acme.example,,0
phone-user036@acme.example,,0
phone-user037@acme.example,,0
phone-user038@acme.example,,0
phone-user039@acme.example,,0
phone-user040@acme.example,,0
phone-user041@acme.example,,0
phone-user042@acme.example,,0
phone-user043@acme.example,,0
phone-user044@acme.example,,0
phone-user045@acme.example,,0
phone-user046@acme.example,,0
phone-user047@acme.example,,0
phone-user048@acme.example,,0
phone-user049@acme.example,,0
