Owner Principal Name,Last Activity Date,Storage Used (Byte)
e3-user112@acme.example,2026-04-09,10845105117
e3-user113@acme.example,2026-04-13,16077614570
e3-user114@acme.example,2026-04-08,12658943702
e3-user115@acme.example,2026-04-13,13019964268
e3-user116@acme.example,2026-04-10,5161258464
e3-user117@acme.example,2026-04-08,3529306774
e3-user118@acme.example,2026-04-16,7684860829
e3-user119@acme.example,2026-04-16,15474641696
e3-user120@acme.example,2026-04-10,12999953151
e3-user121@acme.example,2026-04-12,14160584326
e3-user122@acme.example,2026-04-08,4560598387
e3-user123@acme.example,2026-04-10,15888575350
e3-user124@acme.example,2026-04-16,9560969276
e3-user125@acme.example,2026-04-14,15752555807
e3-user126@acme.example,2026-04-15,12390797786
e3-user127@acme.example,2026-04-13,3786876088
e3-user128@acme.example,2026-04-08,14782686513
e3-user129@acme.example,2026-04-11,8543421859
e3-user130@acme.example,2026-04-15,9128412189
e3-user131@acme.example,2026-04-08,10704398025
e3-user132@acme.example,2026-04-10,4941538333
e3-user133@acme.example,2026-04-07,4185408920
e3-user134@acme.example,2026-04-14,4023734057
e3-user135@acme.example,2026-04-12,6272006044
e3-user136@acme.example,2026-04-10,14185165086
e3-user137@acme.example,2026-04-11,12250006159
e3-user138@acme.example,2026-04-12,7319367979
e3-user139@acme.example,2026-04-13,6231283207
e3-user140@acme.example,2026-04-07,4975013258
e3-user141@acme.example,2026-04-15,4625329742
e3-user142@acme.example,2026-04-09,5339180971
e3-user143@acme.example,2026-04-15,7267513575
e3-user144@acme.example,2026-04-13,10126560706
e3-user145@acme.example,2026-04-09,9044132669
e3-user146@acme.example,2026-04-15,6635826609
e3-user147@acme.example,2026-04-12,4386289743
e3-user148@acme.example,2026-04-07,13869136867
e3-user149@acme.example,2026-04-11,3740871092
e3-user150@acme.example,2026-04-13,5132363048
e3-user151@acme.example,2026-04-10,15698964514
e3-user152@acme.example,2026-04-12,9837103012
e3-user153@acme.example,2026-04-14,6573449070
e3-user154@acme.example,2026-04-10,3621715195
e3-user155@acme.example,2026-04-08,14232679435
e3-user156@acme.example,2026-04-13,12860142868
e3-user157@acme.example,2026-04-15,4441751372
e3-user158@acme.example,2026-04-14,13579356268
e3-user159@acme.example,2026-04-16,4786138753
e3-user160@acme.example,2026-04-13,13920491498
e3-user161@acme.example,2026-04-10,4905478483
e3-user162@acme.example,2026-04-15,8017498049
e3-user163@acme.example,2026-04-12,10724410520
e3-user164@acme.example,2026-04-15,15042202734
e3-user165@acme.example,2026-04-15,3502118687
e3-user166@acme.example,2026-04-09,5769219158
e3-user167@acme.example,2026-04-15,13648959372
e3-user168@acme.example,2026-04-11,14883066321
e3-user169@acme.example,2026-04-09,4799982340
e3-user170@acme.example,2026-04-07,3873687280
e3-user171@acme.example,2026-04-10,8802402894
e3-user172@acme.example,2026-04-10,9613765346
e3-user173@acme.example,2026-04-14,12024356872
e3-user174@acme.example,2026-04-14,7781749556
e3-user175@acme.example,2026-04-09,6764338586
e3-user176@acme.example,2026-04-16,14604054446
e3-user177@acme.example,2026-04-07,11133928475
e3-user178@acme.example,2026-04-12,6388138238
e3-user179@acme.example,2026-04-08,9649394919
e3-user180@acme.example,2026-04-15,9393492005
e3-user181@acme.example,2026-04-14,6826111620
e3-user182@acme.example,2026-04-08,8623025011
e3-user183@acme.example,2026-04-08,6431469852
e3-user184@acme.example,2026-04-10,13462741345
e3-user185@acme.example,2026-04-11,13296133412
e3-user186@acme.example,2026-04-09,9401912404
e3-user187@acme.example,2026-04-07,7654071351
e3-user188@acme.example,2026-04-10,9694513278
e3-user189@acme.example,2026-04-16,6705762737
e3-user190@acme.example,2026-04-13,7329931641
e3-user191@acme.example,2026-04-12,3598797685
e3-user192@acme.example,2026-04-09,3976167725
e3-user193@acme.example,2026-04-07,10042908610
e3-user194@acme.example,2026-04-14,16101047446
e3-user195@acme.example,2026-04-13,4511446583
e3-user196@acme.example,2026-04-16,6655399731
e3-user197@acme.example,2026-04-13,13065931199
e3-user198@acme.example,2026-04-10,10638961809
e3-user199@acme.example,2026-04-14,7792848377
disabled-user000@acme.example,2026-04-07,5490261430
disabled-user001@acme.example,2026-04-11,7318680557
disabled-user002@acme.example,2026-04-16,14997768152
disabled-user003@acme.example,2026-04-11,12285146851
disabled-user004@acme.example,2026-04-07,15430426806
disabled-user005@acme.example,2026-04-13,5052199542
disabled-user006@acme.example,2026-04-09,14001982174
disabled-user007@acme.example,2026-04-14,10206447773
disabled-user008@acme.example,2026-04-15,9540450627
disabled-user009@acme.example,2026-04-07,3944944342
disabled-user010@acme.example,2026-04-08,6040557217
disabled-user011@acme.example,2026-04-11,9380066688
disabled-user012@acme.example,2026-04-13,15048227770
disabled-user013@acme.example,2026-04-11,13612195500
disabled-user014@acme.example,2026-04-11,12458896529
disabled-user015@acme.example,2026-04-14,3988598210
disabled-user016@acme.example,2026-04-14,10779627139
disabled-user017@acme.example,2026-04-08,13198861834
disabled-user018@acme.example,2026-04-15,14310867107
disabled-user019@acme.example,2026-04-10,8034906019
disabled-user020@acme.example,2026-04-11,10771992681
disabled-user021@acme.example,2026-04-14,7109439870
disabled-user022@acme.example,2026-04-10,15795094479
disabled-user023@acme.example,2026-04-09,13424038717
disabled-user024@acme.example,2026-04-14,11585849502
copilot-user000@acme.example,2026-04-08,12333208028
copilot-user001@acme.example,2026-04-07,12157683157
copilot-user002@acme.example,2026-04-13,13361537506
copilot-user003@acme.example,2026-04-14,11796535736
copilot-user004@acme.example,2026-04-12,8096667581
copilot-user005@acme.example,2026-04-16,4862096657
copilot-user006@acme.example,2026-04-07,15446267107
copilot-user007@acme.example,2026-04-07,8266971441
copilot-user008@acme.example,2026-04-07,3638473937
copilot-user009@acme.example,2026-04-07,7321419160
copilot-user010@acme.example,2026-04-07,6067439101
copilot-user011@acme.example,2026-04-09,4562675609
copilot-user012@acme.example,2026-04-15,5033401471
copilot-user013@acme.example,2026-04-11,6287779617
copilot-user014@acme.example,2026-04-15,5384438365
copilot-user015@acme.example,2026-04-11,13808257220
copilot-user016@acme.example,2026-04-12,8976008353
copilot-user017@acme.example,2026-04-15,5922986903
copilot-user018@acme.example,2026-04-15,7737140856
copilot-user019@acme.example,2026-04-16,12503683872
copilot-user020@acme.example,2026-04-10,8193987114
copilot-user021@acme.example,2026-04-10,15708007407
copilot-user022@acme.example,2026-04-10,9574538580
copilot-user023@acme.example,2026-04-10,7746804628
copilot-user024@acme.example,2026-04-09,4528122511
copilot-user025@acme.example,2026-04-07,13383934066
copilot-user026@acme.example,2026-04-13,11608904424
copilot-user027@acme.example,2026-04-15,5317038667
copilot-user028@acme.example,2026-04-16,13518769041
copilot-user029@acme.example,2026-04-11,7021094017
copilot-user030@acme.example,2026-04-15,6585830395
copilot-user031@acme.example,2026-04-14,4177290368
copilot-user032@acme.example,2026-04-14,14662132740
copilot-user033@acme.example,2026-04-08,12652781479
copilot-user034@acme.example,2026-04-15,15356666006
copilot-user035@acme.example,2026-04-07,7575685593
copilot-user036@acme.example,2026-04-16,14730357070
copilot-user037@acme.example,2026-04-14,8778784314
copilot-user038@acme.example,2026-04-10,11046453493
copilot-user039@acme.example,2026-04-15,5245492229
copilot-user040@acme.example,2026-04-13,7487346643
copilot-user041@acme.example,2026-04-08,8494756386
copilot-user042@acme.example,2026-04-08,12524615608
copilot-user043@acme.example,2026-04-12,6639135999
copilot-user044@acme.example,2026-04-15,7053203638
copilot-user045@acme.example,2026-04-07,3860773285
copilot-user046@acme.example,2026-04-09,10303574576
copilot-user047@acme.example,2026-04-11,5200216709
copilot-user048@acme.example,2026-04-15,3270388745
copilot-user049@acme.example,2026-04-07,7016466223
copilot-user050@acme.example,2026-04-15,9410209747
copilot-user051@acme.example,2026-04-14,3552827347
copilot-user052@acme.example,2026-04-15,11444249500
copilot-user053@acme.example,2026-04-15,9323136849
copilot-user054@acme.example,2026-04-10,7194328779
copilot-user055@acme.example,2026-04-12,9289298542
copilot-user056@acme.example,2026-04-08,4395515197
copilot-user057@acme.example,2026-04-11,8214474353
copilot-user058@acme.example,2026-04-11,14630711940
copilot-user059@acme.example,2026-04-16,5625328362
copilot-user060@acme.example,2026-04-09,6613768170
copilot-user061@acme.example,2026-04-12,6615119061
copilot-user062@acme.example,2026-04-14,10491487397
copilot-user063@acme.example,2026-04-15,12913701474
copilot-user064@acme.example,2026-04-11,4325555776
copilot-user065@acme.example,2026-04-10,13634547507
copilot-user066@acme.example,2026-04-07,15728671080
copilot-user067@acme.example,2026-04-16,6152705045
copilot-user068@acme.example,2026-04-08,14054814469
copilot-user069@acme.example,2026-04-08,8615258684
copilot-user070@acme.example,2026-04-09,12074028371
copilot-user071@acme.example,2026-04-13,10600592916
copilot-user072@acme.example,2026-04-15,9357818236
copilot-user073@acme.example,2026-04-16,8308240982
copilot-user074@acme.example,2026-04-08,9690753654
copilot-user075@acme.example,2026-04-07,13534949526
copilot-user076@acme.example,2026-04-09,5121074027
copilot-user077@acme.example,2026-04-14,5448754075
copilot-user078@acme.example,2026-04-13,15747474548
copilot-user079@acme.example,2026-04-10,4847119684
copilot-user080@acme.example,2026-04-10,4230996190
copilot-user081@acme.example,2026-04-14,5822935583
copilot-user082@acme.example,2026-04-12,13968626745
copilot-user083@acme.example,2026-04-15,7341166263
copilot-user084@acme.example,2026-04-08,4342565509
copilot-user085@acme.example,2026-04-11,8341105588
copilot-user086@acme.example,2026-04-08,14258743994
copilot-user087@acme.example,2026-04-16,9124535800
copilot-user088@acme.example,2026-04-07,13355853283
copilot-user089@acme.example,2026-04-10,10792085714
copilot-user090@acme.example,2026-04-14,4671019719
copilot-user091@acme.example,2026-04-07,5130764598
copilot-user092@acme.example,2026-04-15,10728962568
copilot-user093@acme.example,2026-04-07,15138834154
copilot-user094@acme.example,2026-04-12,13265582409
copilot-user095@acme.example,2026-04-11,14398559187
copilot-user096@acme.example,2026-04-12,14532797895
copilot-user097@acme.example,2026-04-09,8156703038
copilot-user098@acme.example,2026-04-09,10591688794
copilot-user099@acme.example,2026-04-12,3703966960
phone-user000@acme.example,2026-04-07,8413505389
phone-user001@acme.example,2026-04-10,11063688833
phone-user002@acme.example,2026-04-11,3720934597
phone-user003@acme.example,2026-04-16,12118427446
phone-user004@acme.example,2026-04-12,12830138733
phone-user005@acme.example,2026-04-16,14779386563
phone-user006@acme.example,2026-04-12,7574596782
phone-user007@acme.example,2026-04-09,7227776666
phone-user008@acme.example,2026-04-15,14279496450
phone-user009@acme.example,2026-04-13,15751749299
phone-user010@acme.example,2026-04-09,4952769724
phone-user011@acme.example,2026-04-11,13194537679
phone-user012@acme.example,2026-04-10,6692675493
phone-user013@acme.example,2026-04-15,11016322237
phone-user014@acme.example,2026-04-13,5642758410
phone-user015@acme.example,2026-04-10,14990717551
phone-user016@acme.example,2026-04-08,12768226510
phone-user017@acme.example,2026-04-16,14394870275
phone-user018@acme.example,2026-04-14,9860425035
phone-user019@acme.example,2026-04-08,4066693661
phone-user020@acme.example,2026-04-08,8418803437
phone-user021@acme.example,2026-04-16,14551339638
phone-user022@acme.example,2026-04-13,5459814258
phone-user023@acme.example,2026-04-13,14005587845
phone-user024@acme.example,2026-04-16,3647342635
phone-user025@acme.example,2026-04-13,15049965730
phone-user026@acme.example,2026-04-09,6751398659
phone-user027@acme.example,2026-04-15,9729729254
phone-user028@acme.example,2026-04-13,11998090274
phone-user029@acme.example,2026-04-07,8020423150
phone-user030@acme.example,2026-04-09,8969224433
phone-user031@acme.example,2026-04-11,10783119892
phone-user032@acme.example,2026-04-12,7656840111
phone-user033@acme.example,2026-04-15,12871516207
phone-user034@acme.example,2026-04-10,6894316418
phone-user035@acme.example,2026-04-07,3860974287
phone-user036@acme.example,2026-04-13,13269260252
phone-user037@acme.example,2026-04-13,14265019029
phone-user038@acme.example,2026-04-12,11953262227
phone-user039@acme.example,2026-04-08,11616864327
phone-user040@acme.example,2026-04-16,3479598131
phone-user041@acme.example,2026-04-14,9329921463
phone-user042@acme.example,2026-04-07,11562544432
phone-user043@acme.example,2026-04-13,13540289952
phone-user044@acme.example,2026-04-12,6473251546
phone-user045@acme.example,2026-04-12,12404816732
phone-user046@acme.example,2026-04-10,8681934517
phone-user047@acme.example,2026-04-09,14193829761
phone-user048@acme.example,2026-04-09,6468204116
phone-user049@acme.example,2026-04-08,7114335329
